کدمحصول,عنوان,لایه درخت,نوع
0122412324,پیله کرم ابریشم,5,برگ
0122412325,مروارید پرورشی تراش نخورده,5,برگ
0122412326,تخم پرندگان,5,شاخه
0122512327,تخم مرغ,6,برگ
0122512328,تخم بلدرچین,6,برگ
0122512329,تخم شترمرغ,6,برگ
0122512330,تخم غاز,6,برگ
0122512331,تخم اردک,6,برگ
0122412332,شیر خام شترسانان,5,شاخه
0122512333,شیر خام شتر,6,برگ
0122412334,کود خام شترسانان و ماکیان,5,شاخه
0122512335,کود خام ماکیان,6,برگ
0122512336,کود خام شترسانان,6,برگ
0140,فعالیتهای خدماتی کشاورزی و دامپروری به جز فعالیتهای دامپزشکی,3,شاخه
0140312301,فعالیتهای خدماتی وابسته به برداشت محصول,4,شاخه
0140412302,پنبه پاک کنی,5,شاخه
0140512308,الیاف پنبه,6,برگ
0140512309,لینتر پنبه حاصل از فرآیند پنبه پاک کنی,6,برگ
0140412303,برنج کوبی,5,برگ
0140412304,خشکاندن غلات,5,شاخه
0140512306,خشکاندن ذرت تر,6,برگ
0140512307,خشکاندن شلتوک,6,برگ
0140412305,پسته پاک کنی,5,برگ
0140412312,انواع دانه های روغنی خشک شده,5,شاخه
0140512313,دانه کنجد خشک شده,6,برگ
0140512314,دانه پنبه خشک شده,6,برگ
0140512315,دانه آفتابگردان خشک شده,6,برگ
0140512316,دانه سویا خشک شده,6,برگ
0140512317,دانه کلزا خشک شده,6,برگ
0140312310,فعالیتهای خدماتی وابسته به دامپروری,4,شاخه
0140412311,تولید جنین دام از روش IVF,5,برگ
02,جنگلداری، قطع اشجار و فعالیتهای خدماتی وابسته,2,شاخه
0200,جنگلداری، قطع اشجار و فعالیت های خدماتی وابسته,3,شاخه
0200312301,پرورش انواع درختان جنگلی,4,شاخه
0200412302,درختان میوه جنگلی,5,برگ
0200412303,درختان الواری,5,شاخه
0200512304,درخت بلوط,6,برگ
0200512305,درخت افرا,6,برگ
0200512306,درخت نارون,6,برگ
0200512307,درخت ممرز,6,برگ
0200512308,درخت توس,6,برگ
0200512309,درخت راش,6,برگ
0200512310,درخت توسکا,6,برگ
0200512311,درخت صنوبر,6,برگ
0200512312,درخت زبان گنجشک,6,برگ
0200512313,درخت شمشاد,6,برگ
0200512314,درخت انجیلی,6,برگ
0200512315,درخت نمدار,6,برگ
0200512316,درخت لاریکس سرخدار,6,برگ
0200512317,درخت کاج,6,برگ
