کدمحصول,عنوان,لایه درخت,نوع
2720512424,لوله مسی با ضخامت بیشتر از 0.6میلی متر,6,برگ
2720512425,لوله آلیاژهای مس-نیکل یا مس-روی نیکل,6,برگ
2720512426,لوله برنجی,6,برگ
2720512427,لوله برنزی,6,برگ
2720512428,لوله سایر آلیاژهای مس طبقه بندی نشده در جای دیگر,6,برگ
2720512617,لوله مسی آجدار از داخل,6,برگ
2720412429,انواع لوله سایر فلزات غیر آهنی طبقه بندی نشده در جای دیگر,5,شاخه
2720512430,لوله نیکل غیر آلیاژی,6,برگ
2720512431,لوله نیکل آلیاژی,6,برگ
2720412432,انواع اتصالات لوله (غیر آهنی),5,شاخه
2720512433,قطعات و اتصالات لوله از جنس مس و آلیاژهای آن,6,برگ
2720512434,قطعات و اتصالات لوله از جنس آلومینیوم و آلیاژهای آن,6,برگ
2720512435,قطعات و اتصالات لوله از جنس نیکل و آلیاژهای آن,6,برگ
2720412552,سایر انواع لوله آلومینیومی,5,شاخه
2720512553,لوله آلومینیومی مولتی پورت,6,برگ
2720512565,لوله خرطومی (انعطاف پذیر) آلومینیومی,6,برگ
2720312436,انواع پروفیل فلزات غیر آهنی,4,شاخه
2720412437,انواع پروفیل آلومینیومی,5,شاخه
2720512438,انواع پروفیل آلومینیوم سری 1000,6,برگ
2720512439,انواع پروفیل آلومینیوم سری 2000,6,برگ
2720512440,انواع پروفیل آلومینیوم سری 3000,6,برگ
2720512441,انواع پروفیل آلومینیوم سری 4000,6,برگ
2720512442,انواع پروفیل آلومینیوم سری 5000,6,برگ
2720512443,انواع پروفیل آلومینیوم سری 6000,6,برگ
2720512444,انواع پروفیل آلومینیوم سری 7000,6,برگ
2720512614,انواع پروفیل آلومینیوم با پوشش پلیمری,6,برگ
2720412445,انواع پروفیل مسی و آلیاژهای مس,5,شاخه
2720512446,پروفیل مسی با ضخامت کمتر از 0/6 میلی متر,6,برگ
2720512447,پروفیل مسی با ضخامت بیشتر از 0/6 میلی متر,6,برگ
2720512448,پروفیل آلیاژهای مس-نیکل یا مس-روی نیکل,6,برگ
2720512449,پروفیل برنجی,6,برگ
2720512450,پروفیل برنزی,6,برگ
2720512451,پروفیل سایر آلیاژهای مس طبقه بندی نشده در جای دیگر,6,برگ
2720412452,انواع پروفیل سایر فلزات غیر آهنی طبقه بندی نشده در جای دیگر,5,شاخه
2720512453,پروفیل نیکل غیر آلیاژی,6,برگ
2720512454,پروفیل نیکل آلیاژی,6,برگ
2720312455,انواع شمش فلزات غیر آهنی,4,شاخه
2720412460,انواع شمش مس,5,شاخه
2720512461,شمش مس,6,برگ
2720512462,شمش برنج,6,برگ
2720512463,شمش برنز,6,برگ
2720512464,شمش سایر آلیاژهای مس طبقه بندی نشده در جای دیگر,6,برگ
2720412465,انواع شمش آلومینیومی,5,شاخه
2720512466,انواع شمش آلومینیوم سری 1000,6,برگ
2720512467,انواع شمش آلومینیوم سری 2000,6,برگ
2720512468,انواع شمش آلومینیوم سری 3000,6,برگ
2720512469,انواع شمش آلومینیوم سری 4000,6,برگ
2720512470,انواع شمش آلومینیوم سری 5000,6,برگ
2720512471,انواع شمش آلومینیوم سری 6000,6,برگ
2720512472,انواع شمش آلومینیوم سری 7000,6,برگ
2720512611,انواع شمش آلومینیوم آلیاژی,6,برگ
2720412473,انواع شمش سایر فلزات غیر آهنی طبقه بندی نشده در جای دیگر,5,شاخه
2720512474,شمش سرب از مواد خام,6,برگ
2720512475,شمش روی,6,برگ
2720512476,شمش نیکل,6,برگ
2720512477,شمش منیزیم,6,برگ
2720512511,شمش کادمیوم,6,برگ
2720512528,شمش سرب از ضایعات,6,برگ
2720512530,شمش کروم,6,برگ
2720512531,شمش مولیبدن,6,برگ
2720512532,شمش قلع,6,برگ
2720512533,شمش کبالت,6,برگ
2720512534,شمش آلیاژی پایه کبالت,6,برگ
2720512544,شمش آلیاژی پایه نیکل,6,برگ
2720512555,شمش آلیاژی پایه سرب,6,برگ
2720512557,شمش تیتانیوم,6,برگ
2720512559,شمش آنتیموان,6,برگ
2720512605,شمش ایندیوم,6,برگ
2720512606,شمش رنیوم,6,برگ
2720512613,شمش آلیاژی پایه روی,6,برگ
2720512618,شمش آلیاژی پایه قلع,6,برگ
2720412575,انواع تی بار آلومینیومی,5,شاخه
2720512585,انواع تی بار آلومینیومی سری 7000,6,برگ
2720512586,انواع تی بار آلومینیومی سری 6000,6,برگ
2720512587,انواع تی بار آلومینیومی سری 5000,6,برگ
2720512588,انواع تی بار آلومینیومی سری 4000,6,برگ
2720512589,انواع تی بار آلومینیومی سری 3000,6,برگ
2720512590,انواع تی بار آلومینیومی سری 2000,6,برگ
2720512591,انواع تی بار آلومینیومی سری 1000,6,برگ
2720412576,انواع بیلت آلومینیومی,5,شاخه
2720512578,انواع بیلت آلومینیومی سری 7000,6,برگ
2720512579,انواع بیلت آلومینیومی سری 6000,6,برگ
2720512580,انواع بیلت آلومینیومی سری 5000,6,برگ
2720512581,انواع بیلت آلومینیومی سری 4000,6,برگ
2720512582,انواع بیلت آلومینیومی سری 3000,6,برگ
2720512583,انواع بیلت آلومینیومی سری 2000,6,برگ
2720512584,انواع بیلت آلومینیومی سری 1000,6,برگ
2720412577,انواع اسلب آلومینیومی,5,شاخه
2720512592,انواع اسلب آلومینیومی سری 7000,6,برگ
2720512593,انواع اسلب آلومینیومی سری 6000,6,برگ
2720512594,انواع اسلب آلومینیومی سری 5000,6,برگ
2720512595,انواع اسلب آلومینیومی سری 4000,6,برگ
2720512596,انواع اسلب آلومینیومی سری 3000,6,برگ
2720512597,انواع اسلب آلومینیومی سری 2000,6,برگ
2720512598,انواع اسلب آلومینیومی سری 1000,6,برگ
2720312478,سایر محصولات فلزات غیر آهنی طبقه بندی نشده در جای دیگر,4,شاخه
2720412479,فلزات پست با روکش فلز قیمتی,5,برگ
2720412481,مس کاتدی,5,برگ
2720412482,انواع تسمه و نوار فلزات غیر آهنی,5,شاخه
2720512483,تسمه و نوار مسی,6,برگ
2720512484,تسمه و نوار برنجی,6,برگ
2720512485,تسمه و نوار آلومینیومی,6,برگ
2720412486,انواع گلوله,5,شاخه
2720512487,گلوله مسی,6,برگ
2720512488,گلوله برنجی,6,برگ
2720512489,گلوله آلومینیومی,6,برگ
2720412490,انواع ساچمه ازفلزات غیرآهنی,5,شاخه
2720512491,ساچمه مسی,6,برگ
2720512492,ساچمه برنجی,6,برگ
2720512493,ساچمه آلومینیومی,6,برگ
2720512510,ساچمه سربی,6,برگ
2720412494,محصولات واسط فلزات غیر آهنی,5,شاخه
2720512495,مات مس,6,برگ
2720512496,بلیستر مس,6,برگ
2720512497,مات نیکل,6,برگ
2720512498,مات کبالت,6,برگ
2720512509,آلومینا,6,برگ
2720512546,سرباره تیتانیوم,6,برگ
2720512562,آلفا آلومینا,6,برگ
2720512570,آلومینای تابولار (Tabular),6,برگ
2720512571,آلومینای ذوبی (fused),6,برگ
2720512601,تاج منیزیم (کرون منیزیم),6,برگ
2720512603,اسفنج کادمیم,6,برگ
2720412547,آندهای فداشونده,5,برگ
2720412564,انواع فوم آلومینیومی,5,برگ
2720412568,آند و کاتد از فلزات غیر آهنی,5,شاخه
2720412480,آند از مس,6,برگ
2720412540,آند و کاتد از روی,6,برگ
2720512548,آند از منیزیم,6,برگ
2720512549,آند از آلومینیوم,6,برگ
2720512550,آند از روی.,6,برگ
2720512569,آند و کاتد سربی,6,برگ
2720512604,آند تیتانیوم برای حفاظت کاتدی,6,برگ
2720512607,کاتد آنتیموان,6,برگ
2720512608,کاتد از نیکل,6,برگ
2720412572,خمیر آلومینیوم,5,برگ
2720412600,منگنز کاتدی,5,برگ
2720412609,فلز کلسیم گرید صنعتی,5,برگ
2720412612,آلیاژ فسفر مس,5,برگ
2720512616,آلیاژهای فلزی مخصوص ساخت دندان مصنوعی,5,برگ
2720512619,بریکت اکسیژن زدا و سرباره ساز فولاد,5,برگ
2720312542,مواد آلیاژ ساز غیر آهنی,4,شاخه
2720412543,مواد آلیاژ ساز غیر آهنی بر پایه کلسیم,5,برگ
2720512615,آمیژان قرص منگنز (آمیژان منگنز),5,برگ
2720312554,انواع پودر، ورق، میله، مفتول و شمش فلزات قیمتی,4,شاخه
2720412311,پودر فلزات قیمتی,5,شاخه
2720512312,پودر طلا,6,برگ
2720512313,نانو پودر طلا,6,برگ
2720512314,پودر نقره,6,برگ
2720512315,نانو پودر نقره,6,برگ
2720512316,پودر پلاتین,6,برگ
2720512317,نانو پودر پلاتین,6,برگ
2720512318,پودر پالادیم,6,برگ
2720412358,انواع ورق و نوار فلزات قیمتی,5,شاخه
2720512359,ورق و نوار طلا,6,برگ
2720512360,ورق و نوار نقره,6,برگ
2720512361,ورق و نوار پلاتین,6,برگ
2720412371,انواع میله، مفتول و سیم فلزات قیمتی,5,شاخه
2720512372,میله، مفتول و سیم طلا,6,برگ
2720512373,میله، مفتول و سیم نقره,6,برگ
2720512374,میله، مفتول و سیم پلاتین,6,برگ
2720412456,شمش و خمیر فلزات قیمتی,5,شاخه
2720512457,شمش طلا,6,برگ
2720512458,شمش نقره,6,برگ
2720512459,شمش پلاتین,6,برگ
2720512529,خمیر نقره,6,برگ
2720412499,انواع فلزات قیمتی پوشش داده شده,5,شاخه
2720512500,نقره پوشش داده شده با طلا,6,برگ
2720512501,نقره پوشش داده شده با پلاتین,6,برگ
2720512502,طلای پوشش داده شده با پلاتین,6,برگ
2720512620,فرآوری کانی های فلزات غیرآهنی,4,شاخه
2720512621,گاما آلومینا,5,برگ
2731,ریخته گری آهن و فولاد,3,شاخه
2731312301,ریخته گری فولاد,4,شاخه
2731412302,ریخته گری قالب دایم فولاد,5,شاخه
2731512303,ریخته گری گریز از مرکز  فولاد,6,برگ
2731512304,ریخته گری فشاری  فولاد,6,برگ
2731412305,ریخته گری قالب موقت  فولاد,5,شاخه
2731512306,ریخته گری ماسه ای  فولاد,6,برگ
2731512307,ریخته گری پوسته ای  فولاد,6,برگ
2731512308,ریخته گری لاست فوم  فولاد,6,برگ
2731512309,ریخته گری دقیق  فولاد,6,برگ
2731312310,ریخته گری چدن,4,شاخه
2731412311,ریخته گری چدن نشکن,5,برگ
2731412312,ریخته گری چدن سفید,5,برگ
2731412313,ریخته گری چدن خاکستری,5,برگ
2731412314,ریخته گری چدن چکش خوار,5,برگ
2731412315,ریخته گری چدن آلیاژی,5,برگ
2732,ریخته گری فلزات غیر آهنی,3,شاخه
2732312301,ریخته گری آلومینیوم و آلیاژهای آن,4,شاخه
2732412302,ریخته گری قالب دایم آلومینیوم و آلیاژهای آن,5,شاخه
2732512303,پوسته ریزی آلومینیوم و آلیاژهای آن,6,برگ
2732512304,دایکست آلومینیوم و آلیاژهای آن,6,برگ
2732512305,دایکست فشاری آلومینیوم و آلیاژهای آن,6,برگ
2732412306,ریخته گری قالب از بین رونده آلومینیوم و آلیاژهای آن,5,شاخه
2732512307,ریخته گری ماسه ای آلومینیوم و آلیاژهای آن,6,برگ
2732512308,ریخته گری پوسته ای آلومینیوم و آلیاژهای آن,6,برگ
2732512309,ریخته گری دقیق آلومینیوم و آلیاژهای آن,6,برگ
2732512310,ریخته گری گچی آلومینیوم و آلیاژهای آن,6,برگ
2732312312,ریخته گری قلع و آلیاژهای آن,4,برگ
2732312313,ریخته گری نیکل و کروم و آلیاژهایشان,4,برگ
2732312315,ریخته گری منیزیم و آلیاژهای آن,4,برگ
2732312318,ریخته گری مس و آلیاژهای آن,4,شاخه
2732412319,ریخته گری مس خالص,5,برگ
2732412320,ریخته گری برنز,5,برگ
2732412321,ریخته گری برنج,5,برگ
2732412322,ریخته گری آلیاژهای مس به جز برنج و برنز,5,برگ
2732312323,ریخته گری سرب و روی و آلیاژهای آنها,4,شاخه
2732412314,ریخته گری روی,5,برگ
2732412316,ریخته گری سرب,5,برگ
2732412317,ریخته گری زاماک,5,برگ
28,ساخت محصولات فلزی فابریکی به جز ماشین آلات و تجهیزات,2,شاخه
2811,ساخت محصولات فلزی سازه ای,3,شاخه
2811312301,انواع سازه فلزی,4,شاخه
2811412302,انواع سازه فلزی آلومینیومی,5,برگ
2811412303,انواع سازه فلزی فولادی,5,شاخه
2811512304,انواع اسکلت فولادی ساختمانی,6,برگ
2811512305,اسکلت فولادی گلخانه ها,6,برگ
2811512306,انواع پل فولادی,6,برگ
2811512307,موج شکن فولادی,6,برگ
2811512308,اسکله فولادی,6,برگ
2811512309,دکل های مخابراتی فولادی,6,برگ
2811512310,دکل های انتقال نیرو فولادی,6,شاخه
2811612402,دکل های انتقال نیرو فولادی شبکه ای (لتیس),7,برگ
2811612403,دکل های انتقال نیرو فولادی تلسکوپی,7,برگ
2811512311,برج فولادی,6,برگ
2811512312,اسکلت فولادی سوله,6,برگ
2811512313,گلدسته فولادی,6,برگ
2811512314,گنبد فولادی,6,برگ
2811512315,مناره فولادی,6,برگ
2811512316,داربست فلزی,6,برگ
2811512360,دریچه فلزی سد,6,برگ
2811512365,پایه فلزی چراغ و سایر تجهیزات مشابه,6,برگ
2811512369,پارکینگ مکانیزه,6,برگ
2811512374,سیلوی فولادی,6,برگ
2811512377,دکل های حفاری فلزی,6,برگ
2811512379,اسکلت فلزی سازه های نمایشگاهی,6,برگ
2811512381,اسکلت فلزی تجهیزات صنایع نفت، گاز و پتروشیمی,6,برگ
2811512382,سازه فولادی انبار مکانیزه,6,برگ
2811512385,راهرو ارتباطی متحرک تردد مسافر,6,برگ
2811512388,سازه های فضاکار فولادی,6,برگ
2811512389,اسکلت فلزی تجهیزات صنایع به جز نفت، گاز و پتروشیمی,6,برگ
2811512393,انواع قفسه فلزی فروشگاهی و انبار,6,برگ
2811512404,سازه فلزی رستوران معلق (هوایی),6,برگ
2811512406,سازه فلزی ثابت نگهدارنده پنل خورشیدی,6,برگ
2811512410,سازه فلزی گردان نگهدارنده پنل خورشیدی,6,برگ
2811512415,شاسی فلزی نگهدارنده تجهیزات صنعتی,6,برگ
2811512416,سازه فلزی ورزش های معلق,6,برگ
2811412317,اجزای سازه فلزی فولادی,5,شاخه
2811512318,ستون فولادی,6,برگ
2811512319,خرپا فولادی,6,برگ
2811512320,صفحه ستون فولادی,6,برگ
2811512321,سقف فولادی به جز سقف کاذب,6,برگ
2811512322,سقف کاذب فولادی,6,برگ
2811512323,دیوار پیش ساخته فولادی,6,برگ
2811512324,تیرچه فولادی,6,برگ
2811512325,شمع مکانیکی سازه ای فولادی,6,برگ
2811512326,انواع قالب ساخت سازه های بتنی,6,برگ
2811512367,انواع غلاف فولادی اتصالات ملات تزریقی,6,برگ
2811512371,قطعات فولادی سقف کاذب,6,برگ
2811512387,سقف های فولادی یکپارچه قوسی سوله و سالن,6,برگ
2811512397,دیوارپوش با روکش فلزی آنتی باکتریال,6,برگ
2811512405,میلگرد بستر,6,برگ
2811412370,اجزای سازه فلزی آلومینیومی,5,شاخه
2811512391,قطعات آلومینیومی سقف کاذب,6,برگ
2811312327,ساختمان های پیش ساخته فلزی,4,شاخه
2811412328,انواع ساختمان های پیش ساخته فلزی آلومینیومی,5,برگ
2811412329,انواع ساختمان های پیش ساخته فلزی فولادی,5,شاخه
2811512330,ساختمان های پیش ساخته فولادی متحرک (کانکس),6,برگ
2811512331,ساختمان های پیش ساخته فولادی ثابت,6,برگ
2811512407,ساختمان های پیش ساخته فولادی متحرک اکسپندبل (کانکس قابل گسترش),6,برگ
2811412398,انواع سازه های فلزی پیش ساخته با کاربرد خاص,5,شاخه
2811512390,اتاق تمیز,6,برگ
2811512399,کانکس مرکز داده,6,برگ
2811512412,محفظه ضد میدان مغناطیسی (قفس فارادی),6,برگ
2811512422,اتاقک صداگیر تجهیزات برقی,6,برگ
2811612404,قاب‌های فولادی سبک وزن,6,برگ
2811612412,کانتینر تابلو برق,6,برگ
2811312332,اجزای ساختمانی فلزی,4,شاخه
2811412333,درب و پنجره فولادی,5,شاخه
2811512334,درب فولادی کرکره ای و آکاردئونی,6,برگ
2811512335,درب فولادی (ضد حریق و ضد انفجار),6,برگ
2811512336,درب فولادی (معمولی),6,برگ
2811512337,پنجره فولادی (با شیشه دوجداره),6,برگ
2811512338,سایر انواع درب و پنجره های فولادی طبقه بندی نشده در جای دیگر,6,برگ
2811512386,درب و پنجره فولادی با روکش آلومینیومی,6,برگ
2811412339,درب و پنجره آلومینیومی,5,شاخه
2811512340,درب آلومینیومی (معمولی),6,برگ
2811512341,درب آلومینیومی (کرکره ای و آکاردئونی),6,برگ
2811512342,درب آلومینیومی دو جداره,6,برگ
2811512343,پنجره آلومینیومی (با شیشه دو جداره),6,برگ
2811512344,سایر انواع درب و پنجره آلومینیومی طبقه بندی نشده در جای دیگر,6,برگ
2811512421,پنجره آلومینیومی (معمولی),6,برگ
2811412361,اجزای ساختمانی فلزی به جز درب و پنجره,5,شاخه
2811512346,چهار چوب فولادی ساختمانی,6,برگ
2811512347,زهوار فولادی ساختمانی,6,برگ
2811512348,لوله و نرده پیش ساخته ساختمانی از پروفیل فلزی,6,برگ
2811512349,حفاظ پیش ساخته در و پنجره از پروفیل فلزی,6,برگ
2811512362,دریچه فلزی کولر,6,برگ
2811512363,دریچه فلزی سیستم تهویه ساختمانی,6,برگ
2811512364,دریچه فلزی لوله بخاری,6,برگ
2811512378,کانال تهویه فلزی ساختمانی,6,برگ
2811512400,صداگیر کانال های تهویه,6,برگ
2811512408,فلاشینگ فلزی ساختمانی,6,برگ
2811512413,سایبان آماده نصب با سازه فلزی,6,برگ
2811512420,اسپیسر فلزی پنجره دوجداره,6,برگ
2811612405,اجزاء، قطعات و یراق‌آلات نرده‌های استیل,6,برگ
2811612407,کفشور استیل,6,برگ
2811612409,انواع خاموت فولادی,6,برگ
2811612410,قاب فلزی استحکام دیوار,6,برگ
2811412380,سایر اجزای ساختمانی فلزی طبقه بندی نشده در جای دیگر,5,شاخه
2811512350,پلکان اضطراری فلزی,6,برگ
2811512372,کف تاشو فلزی,6,برگ
2811512373,پرده کرکره فلزی,6,برگ
2811512375,نرده و حفاظ مشبک پیش ساخته از میلگرد فلزی,6,برگ
2811512376,کفپوش فلزی,6,برگ
2811512383,پارتیشن فلزی,6,برگ
2811512392,مستهلک کننده اصطکاکی دورانی انرژی (دمپر),6,برگ
2811512417,چارچوب فلزی نگهدارنده کف کاذب,6,برگ
2811612406,تیغه کرکره فولادی,6,برگ
2811612408,صفحه فلزی موتور کرکره برقی,6,برگ
2811312352,انواع پانل و نمای ساختمانی از فلز,4,شاخه
2811412353,انواع نمای ساختمانی,5,شاخه
2811512354,نمای ساختمانی آلومینیومی,6,برگ
2811512355,نمای پیش ساخته ترکیبی (شیشه و فلز و پلاستیک),6,برگ
2811512356,نمای پیش ساخته ترکیبی آلومینیوم و شیشه,6,برگ
2811412357,پانل ساختمانی از فلز,5,شاخه
2811512358,پانل آلومینیومی با هسته پلاستوفوم,6,برگ
2811512359,پانل فولادی با هسته پلاستوفوم,6,برگ
2811512368,پانل شبکه میلگرد فولادی با هسته پلاستوفوم,6,برگ
2811512384,پانل آلومینیومی با هسته لانه زنبوری آلومینیومی,6,برگ
2811512394,پانل فولادی با هسته پلی اورتان,6,برگ
2811512395,پانل فولادی با هسته پشم سنگ,6,برگ
2811512396,پانل آلومینیومی با هسته پشم سنگ,6,برگ
2811512401,پانل سربی ضد اشعه,6,برگ
2811512409,پانل آلومینیومی با هسته پلی اورتان,6,برگ
2811512411,پانل فلزی ضد میدان مغناطیسی,6,برگ
2811512414,پانل فولادی با هسته لانه زنبوری آلومینیومی,6,برگ
2811512418,تایل کف کاذب آلمینیومی,6,برگ
2811512419,تایل کف کاذب فولادی,6,برگ
2811612411,ساندویچ پانل آلومینیومی با هسته پلی اتیلن,6,برگ
2812,ساخت تانک، مخزن و ظروف فلزی (کانتینر),3,شاخه
2812312301,انواع مخازن فلزی به جز کانتینر وسایل نقلیه,4,شاخه
2812412302,انواع مخازن فلزی (به جز مخازن مواد غذایی),5,شاخه
2812512303,مخازن فلزی ذخیره ای (به جز مخازن مواد غذایی),6,برگ
2812512304,مخازن فلزی تحت فشار غیر کروی (به جز مخازن مواد غذایی),6,برگ
2812512331,مخازن فلزی تحت فشار کروی (به جز مخازن مواد غذایی),6,برگ
2812512335,مخازن دوجداره کرایوژنیک,6,برگ
2812412305,انواع مخازن فلزی مواد غذایی,5,شاخه
2812512306,مخازن استیل (فولادی) مواد غذایی,6,برگ
2812512307,مخازن آلومینیومی مواد غذایی,6,برگ
2812412330,انواع وان فلزی صنعتی,5,برگ
2812312308,انواع سیلندرهای فلزی,4,شاخه
2812412309,انواع سیلندر گاز صنعتی,5,برگ
2812412310,انواع سیلندر گاز طبی,5,برگ
2812412311,انواع سیلندر گاز مایع,5,شاخه
2812512312,سیلندر گاز مایع (یکبار مصرف),6,برگ
2812512313,سیلندر گاز مایع خانگی,6,برگ
2812512314,سیلندر گاز مایع سفری,6,برگ
2812512327,سیلندر گاز مایع صنعتی,6,برگ
2812412315,انواع سیلندر گاز خودروهای گازسوز,5,شاخه
2812512316,سیلندر گاز خودرو بدون درز فولادی یا آلومینیومی,6,برگ
2812512317,سیلندر گاز خودرو  LPG,6,برگ
2812312318,انواع رادیاتورهای سیستم حرارت مرکزی,4,شاخه
2812412319,رادیاتور چدنی سیستم حرارت مرکزی,5,برگ
2812412320,رادیاتور فولادی سیستم حرارت مرکزی,5,شاخه
2812412321,رادیاتور آلومینیومی سیستم حرارت مرکزی,5,برگ
2812412322,رادیاتور مسی سیستم حرارت مرکزی,5,برگ
2812412328,رادیاتور آلومینیومی قرنیزی سیستم حرارت مرکزی,5,برگ
2812412332,قطعات رادیاتورهای سیستم حرارت مرکزی,5,شاخه
2812512333,کانوکتور رادیاتور فولادی,6,برگ
2812512334,بدنه کناری رادیاتور فولادی,6,برگ
2812412335,حوله خشک کن آلومینیومی,5,برگ
2812412336,حوله خشک کن فولادی,5,برگ
2812312324,انواع دیگ سیستم حرارت مرکزی,4,شاخه
2812412325,دیگ آب گرم فولادی,5,برگ
2812412326,دیگ آب گرم چدنی,5,برگ
2812412329,دیگ چگالشی,5,برگ
2812512336,پره چدنی جهت دیگ های حرارت مرکزی,5,برگ
2813,ساخت مولدهای بخار به جز دیگ های آب گرم حرارت مرکزی,3,شاخه
2813312301,انواع دیگ بخار (به جز دیگ های حرارت مرکزی),4,شاخه
2813412302,دیگ (بویلر) بخار اشباع واترتیوب با تولید بخار بیش از 45 تن بر ساعت,5,برگ
2813412303,دیگ (بویلر) بخار اشباع با تولید بخار کمتر از 45 تن بر ساعت,5,برگ
2813412304,دیگ (بویلر) بخار فایرتیوب,5,برگ
2813412305,دیگ بخار هیبریدی,5,برگ
2813412306,دیگ (بویلر) بخار آب سوپرهیت,5,برگ
2813412326,مولد بخار الکتریکی,5,برگ
2813412328,دیگ (بویلر) بخار بازیافت حرارتی,5,برگ
2813412329,اجزاء و قطعات فلزی انواع دیگ بخار(بویلر),5,برگ
2813312307,انواع راکتور غیر هسته ای,4,برگ
2813312311,تجهیزات کمکی برای استفاده با دیگ بخار,4,شاخه
2813412312,سوپر هیترهای دیگ ها,5,برگ
2813412313,پیش گرم کن های دیگ ها,5,برگ
2813412314,دستگاه دوده زدای دیگ ها,5,برگ
2813412315,دستگاه رسوب زدای دیگ ها,5,برگ
2813412316,دستگاه بازیاب گاز دیگ ها,5,برگ
2813412317,کندانسور دیگ ها,5,برگ
2813412318,تبادلگر گرمایی دوار,5,برگ
2813412323,تجهیزات هوازدا,5,برگ
2813312324,انواع بویلر صنعتی,4,شاخه
2813412308,راکتورهای پیوسته,5,برگ
2813412309,راکتورهای جریان لوله ای,5,برگ
2813412310,راکتورهای بسته ای,5,شاخه
2813412325,دیگ روغن داغ,5,برگ
2813412327,دیگ آب داغ,5,برگ
2813312330,اجزا و قطعات دیگ بخار,4,شاخه
2813412331,اجزاء و قطعات فلزی انواع دیگ بخار(بویلر),5,برگ
2891,چکش کاری، پرس کاری، قالب زنی، پتک کاری غلتکی فلزات، متالورژی پودر,3,شاخه
2891312301,عملیات اکستروژن و کشش فلزات,4,شاخه
2891412302,اکستروژن,5,شاخه
2891512303,اکستروژن مستقیم,6,برگ
2891512304,اکستروژن غیر مستقیم,6,برگ
2891512305,اکستروژن هیدرواستاتیک,6,برگ
2891512306,اکستروژن ضربه ای,6,برگ
2891512307,اکستروژن جانبی,6,برگ
2891412308,خدمات کشش سرد,5,شاخه
2891512309,کشش سیم,6,شاخه
2891612310,کشش سرد سیم فولاد,7,برگ
2891612311,کشش سرد سیم آلیاژ آلومینیوم,7,برگ
2891612312,کشش سرد سیم آلیاژ مس,7,برگ
2891512313,کشش سرد لوله,6,شاخه
2891612314,کشش سرد لوله فولاد,7,برگ
2891612315,کشش سرد لوله آلیاژ آلومینیوم,7,برگ
2891612316,کشش سرد لوله آلیاژ مس,7,برگ
2891512317,کشش سرد تسمه,6,شاخه
2891612318,کشش سرد تسمه فولاد,7,برگ
2891612319,کشش سرد تسمه آلیاژ آلومینیوم,7,برگ
2891612320,کشش سرد تسمه آلیاژ مس,7,برگ
2891412321,خدمات کشش گرم,5,شاخه
2891512322,کشش گرم لوله,6,شاخه
2891612323,کشش گرم لوله فولاد,7,برگ
2891612324,کشش گرم لوله آلیاژ آلومینیوم,7,برگ
2891612325,کشش گرم لوله آلیاژ مس,7,برگ
2891512326,کشش گرم تسمه,6,شاخه
2891612327,کشش گرم تسمه فولاد,7,برگ
2891612328,کشش گرم تسمه آلیاژ آلومینیوم,7,برگ
2891612329,کشش گرم تسمه آلیاژ مس,7,برگ
2891312330,عملیات ورق کاری، برش و شکل دهی ورق و خمکاری میله و میلگرد,4,شاخه
2891412331,عملیات ورق کاری,5,شاخه
2891512333,سوراخ کاری غیر مکانیکی ورق,6,برگ
2891512334,پولک زنی و منگنه کاری ورق فلزی (پانچینگ),6,برگ
2891512336,خم کاری ورق,6,برگ
2891512361,کرکره ای کردن ورق فلزی,6,برگ
2891512362,ساخت ناودانی، لوله بخاری و محصولات مشابه از ورق فلزی,6,برگ
2891512364,آجدار کردن ورق فلزی (ورق نقش دار),6,برگ
2891412337,شکل دهی ورق,5,شاخه
2891512338,شکل دهی هیدروفرم,6,برگ
2891512339,شکل دهی چرخشی,6,برگ
2891512340,کشش عمیق,6,شاخه
2891612341,کشش عمیق فولاد,7,برگ
2891612342,کشش عمیق آلیاژ آلومینیوم,7,برگ
2891612343,کشش عمیق آلیاژ مس,7,برگ
2891412344,عملیات برش کاری ورق فلزات,5,شاخه
2891512345,اره کاری فلزات,6,برگ
2891512346,برش کاری فلزات به روش غلتکی,6,برگ
2891512347,برش کاری فلزات به روش شعله,6,برگ
2891512348,برش کاری فلزات به روش لیزری,6,برگ
2891512349,برش کاری فلزات به روش واترجت,6,برگ
2891512350,برش کاری فلزات به روش پلاسما,6,برگ
2891512365,برش کاری فلزات به روش گیوتینی,6,برگ
2891412363,خدمات برش و خمکاری میله و میلگرد و لوله,5,برگ
2891312351,خدمات ساخت قطعات به روش فورج,4,شاخه
2891412352,خدمات ساخت قطعات از جنس فولاد به روش فورج,5,برگ
2891412353,خدمات ساخت قطعات از جنس آلومینیوم و آلیاژهای آن به روش فورج,5,برگ
2891412354,خدمات ساخت قطعات از جنس سرب و آلیاژهای آن به روش فورج,5,برگ
2891412355,خدمات ساخت قطعات از جنس روی و آلیاژهای آن به روش فورج,5,برگ
2891412356,خدمات ساخت قطعات از جنس مس و آلیاژهای آن به روش فورج,5,برگ
2891312357,ساخت قطعات متالورژی پودر,4,شاخه
2891412358,ساخت قطعات فولادی به روش متالورژی پودر,5,برگ
2891412359,ساخت قطعات آهنی به روش متالورژی پودر,5,برگ
2891412360,ساخت قطعات غیر آهنی به روش متالورژی پودر,5,برگ
